class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
ImageProcessor,cartoonify/app/image_processor/imageprocessor.py,11,10,4,0.429,42,21,190,67,12.24,1,0,0
PILImageViewerWidget,cartoonify/app/gui/gui.py,4,4,0,0.5,13,4,28,5,8.25,1,0,0
WebGui,cartoonify/app/gui/gui.py,11,10,6,0.393,38,21,355,174,25.19,1,0,0
Workflow,cartoonify/app/workflow/workflow.py,10,9,0,0.75,48,47,277,134,8.74,1,0,0
FakeDetectionModel,cartoonify/app/object_detection/trainer_test.py,7,6,1,0.333,21,2,109,0,54.5,1,0,0
TrainerTest,cartoonify/app/object_detection/trainer_test.py,1,1,0,1.0,10,2,45,0,22.5,1,0,0
FakeModel,cartoonify/app/object_detection/exporter_test.py,6,6,0,1.0,9,2,36,0,18.0,1,0,0
ExportInferenceGraphTest,cartoonify/app/object_detection/exporter_test.py,19,19,0,0.89,79,2,533,0,266.5,1,0,0
GridAnchorGeneratorTest,cartoonify/app/object_detection/anchor_generators/grid_anchor_generator_test.py,2,2,0,1.0,13,2,52,0,26.0,1,0,0
MultipleGridAnchorGeneratorTest,cartoonify/app/object_detection/anchor_generators/multiple_grid_anchor_generator_test.py,8,8,0,0.571,18,2,207,0,103.5,1,0,0
CreateSSDAnchorsTest,cartoonify/app/object_detection/anchor_generators/multiple_grid_anchor_generator_test.py,1,1,0,1.0,8,2,34,0,17.0,1,0,0
GridAnchorGenerator,cartoonify/app/object_detection/anchor_generators/grid_anchor_generator.py,5,4,0,1.0,22,2,91,0,45.5,1,0,0
MultipleGridAnchorGenerator,cartoonify/app/object_detection/anchor_generators/multiple_grid_anchor_generator.py,5,4,0,1.0,39,2,213,0,106.5,1,0,0
ConfigUtilTest,cartoonify/app/object_detection/utils/config_util_test.py,17,17,0,0.691,69,2,338,0,169.0,1,0,0
BoxListTest,cartoonify/app/object_detection/utils/np_box_list_test.py,5,5,6,0.2,9,2,45,0,22.5,1,0,0
AddExtraFieldTest,cartoonify/app/object_detection/utils/np_box_list_test.py,8,8,0,0.75,20,2,65,0,32.5,1,0,0
OpenImagesV2EvaluationTest,cartoonify/app/object_detection/utils/object_detection_evaluation_test.py,1,1,0,1.0,25,2,78,0,39.0,1,0,0
PascalEvaluationTest,cartoonify/app/object_detection/utils/object_detection_evaluation_test.py,2,2,1,0.0,26,2,92,0,46.0,1,0,0
WeightedPascalEvaluationTest,cartoonify/app/object_detection/utils/object_detection_evaluation_test.py,6,6,0,0.8,24,2,133,0,66.5,1,0,0
ObjectDetectionEvaluationTest,cartoonify/app/object_detection/utils/object_detection_evaluation_test.py,4,4,0,1.0,44,2,107,0,53.5,1,0,0
DetectionEvaluator,cartoonify/app/object_detection/utils/object_detection_evaluation.py,7,5,0,1.0,6,2,62,0,31.0,1,0,0
ObjectDetectionEvaluator,cartoonify/app/object_detection/utils/object_detection_evaluation.py,6,5,0,1.0,33,2,163,0,81.5,1,0,0
PascalDetectionEvaluator,cartoonify/app/object_detection/utils/object_detection_evaluation.py,2,1,0,1.0,5,2,12,0,6.0,1,0,0
WeightedPascalDetectionEvaluator,cartoonify/app/object_detection/utils/object_detection_evaluation.py,2,1,0,1.0,5,2,23,0,11.5,1,0,0
OpenImagesDetectionEvaluator,cartoonify/app/object_detection/utils/object_detection_evaluation.py,3,2,0,1.0,14,2,76,0,38.0,1,0,0
ObjectDetectionEvaluation,cartoonify/app/object_detection/utils/object_detection_evaluation.py,7,6,0,0.8,43,2,232,0,116.0,1,0,0
MetricsTest,cartoonify/app/object_detection/utils/metrics_test.py,5,5,6,0.2,24,2,54,0,27.0,1,0,0
LearningSchedulesTest,cartoonify/app/object_detection/utils/learning_schedules_test.py,3,3,0,1.0,22,2,55,0,27.5,1,0,0
StaticShapeTest,cartoonify/app/object_detection/utils/static_shape_test.py,5,5,0,0.6,5,2,26,0,13.0,1,0,0
MockBoxCoder,cartoonify/app/object_detection/utils/test_utils.py,4,3,0,1.0,6,2,14,0,7.0,1,0,0
MockBoxPredictor,cartoonify/app/object_detection/utils/test_utils.py,3,2,0,1.0,15,2,22,0,11.0,1,0,0
MockAnchorGenerator,cartoonify/app/object_detection/utils/test_utils.py,4,3,0,1.0,7,2,14,0,7.0,1,0,0
MockMatcher,cartoonify/app/object_detection/utils/test_utils.py,2,1,0,1.0,2,2,7,0,3.5,1,0,0
SingleClassTpFpWithDifficultBoxesTest,cartoonify/app/object_detection/utils/per_image_evaluation_test.py,3,3,0,1.0,16,2,46,0,23.0,1,0,0
SingleClassTpFpWithGroupOfBoxesTest,cartoonify/app/object_detection/utils/per_image_evaluation_test.py,3,3,0,1.0,16,2,46,0,23.0,1,0,0
SingleClassTpFpNoDifficultBoxesTest,cartoonify/app/object_detection/utils/per_image_evaluation_test.py,5,5,0,1.0,18,2,74,0,37.0,1,0,0
MultiClassesTpFpTest,cartoonify/app/object_detection/utils/per_image_evaluation_test.py,1,1,0,1.0,27,2,34,0,17.0,1,0,0
CorLocTest,cartoonify/app/object_detection/utils/per_image_evaluation_test.py,2,2,0,1.0,18,2,51,0,25.5,1,0,0
SortOrder,cartoonify/app/object_detection/utils/np_box_list_ops.py,3,0,0,1.0,3,2,11,0,5.5,1,0,0
AreaRelatedTest,cartoonify/app/object_detection/utils/np_box_list_ops_test.py,11,11,0,0.873,33,2,126,0,63.0,1,0,0
GatherOpsTest,cartoonify/app/object_detection/utils/np_box_list_ops_test.py,6,6,0,1.0,15,2,71,0,35.5,1,0,0
SortByFieldTest,cartoonify/app/object_detection/utils/np_box_list_ops_test.py,5,5,0,1.0,12,2,48,0,24.0,1,0,0
NonMaximumSuppressionTest,cartoonify/app/object_detection/utils/np_box_list_ops_test.py,9,9,0,0.833,19,2,143,0,71.5,1,0,0
TestUtilsTest,cartoonify/app/object_detection/utils/test_utils_test.py,2,2,0,1.0,12,2,48,0,24.0,1,0,0
BoxList,cartoonify/app/object_detection/utils/np_box_list.py,10,9,0,0.536,17,2,113,0,56.5,1,0,0
NormalizedToImageCoordinatesTest,cartoonify/app/object_detection/utils/ops_test.py,1,1,0,1.0,10,2,21,0,10.5,1,0,0
MeshgridTest,cartoonify/app/object_detection/utils/ops_test.py,2,2,0,1.0,19,2,41,0,20.5,1,0,0
OpsTestPadToMultiple,cartoonify/app/object_detection/utils/ops_test.py,3,3,0,1.0,7,2,24,0,12.0,1,0,0
OpsTestPaddedOneHotEncoding,cartoonify/app/object_detection/utils/ops_test.py,9,9,12,0.333,12,2,76,0,38.0,1,0,0
OpsDenseToSparseBoxesTest,cartoonify/app/object_detection/utils/ops_test.py,2,2,0,1.0,16,2,55,0,27.5,1,0,0
OpsTestIndicesToDenseVector,cartoonify/app/object_detection/utils/ops_test.py,6,6,0,1.0,17,2,107,0,53.5,1,0,0
GroundtruthFilterTest,cartoonify/app/object_detection/utils/ops_test.py,4,4,0,1.0,20,2,189,0,94.5,1,0,0
RetainGroundTruthWithPositiveClasses,cartoonify/app/object_detection/utils/ops_test.py,1,1,0,1.0,20,2,68,0,34.0,1,0,0
ReplaceNaNGroundtruthLabelScoresWithOnes,cartoonify/app/object_detection/utils/ops_test.py,2,2,0,1.0,10,2,21,0,10.5,1,0,0
GroundtruthFilterWithCrowdBoxesTest,cartoonify/app/object_detection/utils/ops_test.py,1,1,0,1.0,9,2,37,0,18.5,1,0,0
GroundtruthFilterWithNanBoxTest,cartoonify/app/object_detection/utils/ops_test.py,1,1,0,1.0,10,2,37,0,18.5,1,0,0
OpsTestNormalizeToTarget,cartoonify/app/object_detection/utils/ops_test.py,6,6,1,0.467,12,2,67,0,33.5,1,0,0
OpsTestPositionSensitiveCropRegions,cartoonify/app/object_detection/utils/ops_test.py,11,11,1,0.491,24,2,275,0,137.5,1,0,0
ReframeBoxMasksToImageMasksTest,cartoonify/app/object_detection/utils/ops_test.py,3,3,0,1.0,10,2,48,0,24.0,1,0,0
MergeBoxesWithMultipleLabelsTest,cartoonify/app/object_detection/utils/ops_test.py,2,2,0,1.0,17,2,41,0,20.5,1,0,0
DatasetUtilTest,cartoonify/app/object_detection/utils/dataset_util_test.py,1,1,0,1.0,8,2,12,0,6.0,1,0,0
LabelMapUtilTest,cartoonify/app/object_detection/utils/label_map_util_test.py,10,10,10,0.361,21,2,190,0,95.0,1,0,0
BoxOpsTests,cartoonify/app/object_detection/utils/np_box_ops_test.py,5,5,0,0.9,15,2,43,0,21.5,1,0,0
EvalUtilTest,cartoonify/app/object_detection/utils/category_util_test.py,2,2,0,1.0,9,2,29,0,14.5,1,0,0
UtilTest,cartoonify/app/object_detection/utils/shape_utils_test.py,7,7,0,0.714,26,2,103,0,51.5,1,0,0
