class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
ReturnType,rembg/bg.py,3,0,0,1.0,4,2,6,0,3.0,1,0,0
BiRefNetSessionPortrait,rembg/sessions/birefnet_portrait.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
BiRefNetSessionGeneralLite,rembg/sessions/birefnet_general_lite.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
U2netpSession,rembg/sessions/u2netp.py,4,3,0,1.0,19,8,74,9,10.38,2,0,0
BaseSession,rembg/sessions/base.py,8,7,0,1.0,30,25,147,68,8.6,9,0,0
DisSession,rembg/sessions/dis_anime.py,4,3,0,1.0,19,9,87,12,11.0,2,0,0
BiRefNetSessionDIS,rembg/sessions/birefnet_dis.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
U2netSession,rembg/sessions/u2net.py,4,3,0,1.0,19,9,87,10,10.78,3,0,0
SamSession,rembg/sessions/sam.py,5,4,0,1.0,62,22,432,167,27.23,5,0,0
BiRefNetSessionHRSOD,rembg/sessions/birefnet_hrsod.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
BenCustomSession,rembg/sessions/ben_custom.py,5,4,0,1.0,23,4,121,40,40.25,2,0,0
BiRefNetSessionMassive,rembg/sessions/birefnet_massive.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
U2netCustomSession,rembg/sessions/u2net_custom.py,5,4,0,1.0,23,9,106,21,14.11,3,0,0
SiluetaSession,rembg/sessions/silueta.py,4,3,0,1.0,19,8,89,8,12.12,2,0,0
BiRefNetSessionCOD,rembg/sessions/birefnet_cod.py,3,2,0,1.0,8,1,45,0,45.0,1,0,0
U2netHumanSegSession,rembg/sessions/u2net_human_seg.py,4,3,0,1.0,19,8,86,9,11.88,2,0,0
BiRefNetSessionGeneral,rembg/sessions/birefnet_general.py,5,4,0,1.0,20,1,80,0,80.0,1,0,0
Unet2ClothSession,rembg/sessions/u2net_cloth_seg.py,3,3,0,1.0,28,15,123,36,10.6,5,0,0
DisSession,rembg/sessions/dis_general_use.py,3,3,0,1.0,19,8,85,10,11.88,3,0,0
BriaRmBgSession,rembg/sessions/bria_rmbg.py,4,3,0,1.0,19,2,78,1,39.5,2,0,0
DisCustomSession,rembg/sessions/dis_custom.py,5,4,0,1.0,23,4,83,3,21.5,2,0,0
CommonQueryParams,rembg/commands/s_command.py,1,1,0,1.0,20,0,0,0,0,0,0,0
CommonQueryPostParams,rembg/commands/s_command.py,1,1,0,1.0,21,0,0,0,0,0,0,0
EventHandler,rembg/commands/p_command.py,1,1,0,1.0,9,0,0,0,0,0,0,0
