class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
Grantee,S3/ACL.py,8,6,0,0.867,10,11,85,46,11.91,5,2,0
GranteeAnonRead,S3/ACL.py,1,1,0,1.0,2,4,18,10,7.0,1,0,1
GranteeLogDelivery,S3/ACL.py,1,1,0,1.0,3,3,20,9,9.67,1,0,1
ACL,S3/ACL.py,18,17,12,0.456,21,19,340,192,28.0,8,0,0
http_connection,S3/ConnMan.py,10,8,0,1.0,36,45,353,146,11.09,13,0,0
ConnMan,S3/ConnMan.py,8,3,0,1.0,21,15,97,20,7.8,9,0,0
Progress,S3/Progress.py,9,7,3,0.429,20,16,174,94,16.75,6,2,0
ProgressANSI,S3/Progress.py,9,1,0,1.0,19,10,103,56,15.9,4,0,1
ProgressCR,S3/Progress.py,2,1,0,1.0,14,7,70,33,14.71,4,0,2
StatsInfo,S3/Progress.py,3,2,0,1.0,4,5,72,31,20.6,2,0,0
SortedDictIterator,S3/SortedDict.py,4,3,0,1.0,9,7,38,18,8.0,3,0,0
SortedDict,S3/SortedDict.py,5,5,0,0.6,18,7,38,18,8.0,3,1,2
FileDict,S3/FileDict.py,6,6,3,0.4,16,10,85,29,11.4,5,0,1
DistributionSummary,S3/CloudFront.py,3,3,1,0.333,8,7,64,33,13.86,3,0,0
DistributionList,S3/CloudFront.py,2,2,1,0.0,9,5,54,27,16.2,1,0,0
Distribution,S3/CloudFront.py,3,3,1,0.333,10,7,64,33,13.86,3,0,0
DistributionConfig,S3/CloudFront.py,7,5,6,0.2,27,15,187,103,19.33,5,0,0
Invalidation,S3/CloudFront.py,3,3,1,0.333,8,3,52,25,25.67,1,0,0
InvalidationList,S3/CloudFront.py,3,3,1,0.333,8,3,58,28,28.67,1,0,0
InvalidationBatch,S3/CloudFront.py,6,6,3,0.4,14,11,94,45,12.64,5,0,0
CloudFront,S3/CloudFront.py,19,17,6,0.475,78,51,699,381,21.18,14,0,0
Cmd,S3/CloudFront.py,10,7,0,1.0,78,22,523,258,35.5,7,1,0
Options,S3/CloudFront.py,8,2,0,1.0,14,0,0,0,0,0,0,1
ExpectationFailed,S3/Custom_httplib27.py,1,0,0,1.0,1,2,5,0,2.5,1,0,0
ExitScoreboard,S3/ExitCodes.py,6,5,0,0.7,6,1,29,0,29.0,1,0,0
S3Uri,S3/S3Uri.py,8,6,6,0.2,16,11,81,40,11.0,4,4,0
S3UriS3,S3/S3Uri.py,13,11,0,0.778,19,26,186,104,11.15,8,0,1
S3UriS3FS,S3/S3Uri.py,6,4,0,0.667,9,9,43,23,7.33,2,0,1
S3UriFile,S3/S3Uri.py,8,6,3,0.4,12,10,55,27,8.2,3,0,1
S3UriCloudFront,S3/S3Uri.py,6,4,2,0.333,10,7,50,27,11.0,2,0,1
AccessLog,S3/AccessLog.py,11,9,0,1.0,20,7,125,57,26.0,3,0,0
BidirMap,S3/BidirMap.py,8,8,0,0.679,7,7,73,36,15.57,2,0,0
S3Exception,S3/Exceptions.py,6,5,6,0.2,8,12,49,25,6.17,5,7,0
S3Error,S3/Exceptions.py,4,4,0,1.0,20,25,158,86,9.76,8,1,1
CloudFrontError,S3/Exceptions.py,1,0,0,1.0,1,3,5,2,2.33,1,0,1
S3UploadError,S3/Exceptions.py,1,0,0,1.0,1,4,5,2,1.75,1,0,1
S3DownloadError,S3/Exceptions.py,1,0,0,1.0,1,4,5,2,1.75,1,0,1
S3RequestError,S3/Exceptions.py,1,0,0,1.0,1,3,4,1,1.67,1,0,1
S3ResponseError,S3/Exceptions.py,1,0,0,1.0,1,4,4,1,1.25,2,0,1
InvalidFileError,S3/Exceptions.py,1,0,0,1.0,1,3,4,1,1.67,1,0,1
ParameterError,S3/Exceptions.py,1,0,0,1.0,1,4,6,2,2.0,1,0,1
S3SSLCertificateError,S3/Exceptions.py,1,0,0,1.0,1,0,0,0,0,0,0,0
HashCache,S3/HashCache.py,8,8,0,1.0,20,11,76,20,8.73,6,0,0
ExpectationFailed,S3/Custom_httplib3x.py,1,0,0,1.0,1,1,5,0,5.0,1,0,0
MultiPartUpload,S3/MultiPart.py,13,9,0,0.944,63,47,752,444,25.45,9,0,0
S3Request,S3/S3.py,8,6,0,0.867,25,35,238,158,11.31,10,1,0
S3,S3/S3.py,86,82,145,0.476,242,35,238,158,11.31,10,0,0
Config,S3/Config.py,122,9,9,0.2,209,217,1075,542,7.45,64,2,0
ConfigParser,S3/Config.py,5,5,0,0.6,26,12,130,81,17.58,5,0,0
ConfigDumper,S3/Config.py,2,2,0,1.0,13,7,34,12,6.57,3,0,0
